"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","219","cy.request() - verify response using BDD syntax","Network Requests","2026-02-01","passed","2026-02-01","","","",""
"","71","Get current version of Cypress being run","Cypress APIs","2026-02-01","passed","2026-02-01","","Cypress.version","",""
"","99","finds element by class name regex","Assertions","2026-02-01","passed","2026-02-01","","Explicit Assertions","",""
"","82","cy.document() - get the document object","Window","2026-02-01","passed","2026-02-01","","","",""
"","326",".as() - alias a DOM element for later use","Aliasing","2026-02-01","passed","2026-02-01","","","",""
"","106","pass your own callback function to should()","Assertions","2026-02-01","passed","2026-02-01","","Explicit Assertions","",""
"","391","cy.intercept() - route responses to matching requests","Network Requests","2026-02-01","passed","2026-02-01","","","",""
"","110","cy.setCookie() - set a browser cookie","Cookies","2026-02-01","passed","2026-02-01","","","",""
"","90","assert - assert shape of an object","Assertions","2026-02-01","passed","2026-02-01","","Explicit Assertions","",""
"","115","cy.readFile() - read file contents","Files","2026-02-01","passed","2026-02-01","","","",""
"","197","cy.wait() - wait for a specific route","Waiting","2026-02-01","passed","2026-02-01","","","",""
"","174","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-02-01","passed","2026-02-01","","","",""
"","178","cy.clearCookie() - clear a browser cookie","Cookies","2026-02-01","passed","2026-02-01","","","",""
"","90",".filter() - get DOM elements that match the selector","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","1585","retries the should callback until assertions pass","Assertions","2026-02-01","passed","2026-02-01","","Explicit Assertions","",""
"","86","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-02-01","passed","2026-02-01","","","",""
"","300","cy.getCookie() - get a browser cookie","Cookies","2026-02-01","passed","2026-02-01","","","",""
"","93","invokes a callback function with the current subject","Connectors","2026-02-01","passed","2026-02-01","",".then()","",""
"","168","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-02-01","passed","2026-02-01","","","",""
"","450",".submit() - submit a form","Actions","2026-02-01","passed","2026-02-01","","","",""
"","87",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","842","cy.exec() - execute a system command","Misc","2026-02-01","passed","2026-02-01","","","",""
"","363","cy.request() - make an XHR request","Network Requests","2026-02-01","passed","2026-02-01","","","",""
"","100",".parents() - get parent DOM elements from DOM elements","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","20","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-02-01","passed","2026-02-01","","","",""
"","188",".dblclick() - double click on a DOM element","Actions","2026-02-01","passed","2026-02-01","","","",""
"","89",".not() - remove DOM elements from set of DOM elements","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","142","cy.request() with query parameters","Network Requests","2026-02-01","passed","2026-02-01","","","",""
"","196",".each() - iterate over an array of elements","Connectors","2026-02-01","passed","2026-02-01","","","",""
"","2777","cy.viewport() - set the viewport size and dimension","Viewport","2026-02-01","passed","2026-02-01","","","",""
"","88",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","101",".find() - get descendant DOM elements of the selector","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","201",".add() - create a custom command","Cypress APIs","2026-02-01","passed","2026-02-01","","Cypress.Commands","",""
"","274","Cypress._ - call a lodash method","Utilities","2026-02-01","passed","2026-02-01","","","",""
"","400",".blur() - blur off a DOM element","Actions","2026-02-01","passed","2026-02-01","","","",""
"","202","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-02-01","passed","2026-02-01","","","",""
"","88",".parent() - get parent DOM element from DOM elements","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","95","expect - make an assertion about a specified subject","Assertions","2026-02-01","passed","2026-02-01","","Explicit Assertions","",""
"","165","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-02-01","passed","2026-02-01","","","",""
"","850",".select() - select an option in a <select> element","Actions","2026-02-01","passed","2026-02-01","","","",""
"","608","best practices - selecting elements","Querying","2026-02-01","passed","2026-02-01","","","",""
"","129","cy.contains() - query DOM elements with matching content","Querying","2026-02-01","passed","2026-02-01","","","",""
"","2118","cy.scrollTo() - scroll the window or element to a position","Actions","2026-02-01","passed","2026-02-01","","","",""
"","293","cy.fixture() - load a fixture","Files","2026-02-01","passed","2026-02-01","","","",""
"","1970",".click() - click on a DOM element","Actions","2026-02-01","passed","2026-02-01","","","",""
"","114","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-02-01","passed","2026-02-01","","","",""
"","96",".prev() - get previous sibling DOM element","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","196","cy.request() - save response in the shared test context","Network Requests","2026-02-01","passed","2026-02-01","","","",""
"","92",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-02-01","passed","2026-02-01","","Cypress.dom","",""
"","86","Get environment variables","Cypress APIs","2026-02-01","passed","2026-02-01","","Cypress.env()","",""
"","98","Get and set configuration options","Cypress APIs","2026-02-01","passed","2026-02-01","","Cypress.config()","",""
"","212","cy.hash() - get the current URL hash","Location","2026-02-01","passed","2026-02-01","","","",""
"","1074","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-02-01","passed","2026-02-01","","","",""
"","84","yields the value yielded by the last Cypress command inside","Connectors","2026-02-01","passed","2026-02-01","",".then()","",""
"","247","can filter for completed tasks","example to-do app","2026-02-01","passed","2026-02-01","","with a checked task","",""
"","84",".spread() - spread an array as individual args to callback function","Connectors","2026-02-01","passed","2026-02-01","","","",""
"","88","yields the returned value to the next command","Connectors","2026-02-01","passed","2026-02-01","",".then()","",""
"","81","yields the original subject without return","Connectors","2026-02-01","passed","2026-02-01","",".then()","",""
"","83","can throw any error","Assertions","2026-02-01","passed","2026-02-01","","Explicit Assertions","",""
"","92","cy.wrap() - wrap an object","Misc","2026-02-01","passed","2026-02-01","","","",""
"","76","cy.title() - get the title","Window","2026-02-01","passed","2026-02-01","","","",""
"","94",".closest() - get closest ancestor DOM element","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","498",".as() - alias a route for later use","Aliasing","2026-02-01","passed","2026-02-01","","","",""
"","3612",".type() - type into a DOM element","Actions","2026-02-01","passed","2026-02-01","","","",""
"","93",".last() - get last DOM element","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","95","matches unknown text between two elements","Assertions","2026-02-01","passed","2026-02-01","","Explicit Assertions","",""
"","102","cy.root() - query the root DOM element","Querying","2026-02-01","passed","2026-02-01","","","",""
"","175",".rightclick() - right click on a DOM element","Actions","2026-02-01","passed","2026-02-01","","","",""
"","84",".nextAll() - get all next sibling DOM elements","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","860","cy.screenshot() - take a screenshot","Misc","2026-02-01","passed","2026-02-01","","Cypress.Screenshot","",""
"","161","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-02-01","passed","2026-02-01","","","",""
"","789",".uncheck() - uncheck a checkbox element","Actions","2026-02-01","passed","2026-02-01","","","",""
"","183","can check off an item as completed","example to-do app","2026-02-01","passed","2026-02-01","","","",""
"","132",".scrollIntoView() - scroll an element into view","Actions","2026-02-01","passed","2026-02-01","","","",""
"","76","Control what is printed to the Command Log","Cypress APIs","2026-02-01","passed","2026-02-01","","Cypress.log","",""
"","326","displays two todo items by default","example to-do app","2026-02-01","passed","2026-02-01","","","",""
"","186","cy.window() - get the global window object","Window","2026-02-01","passed","2026-02-01","","","",""
"","97",".within() - query DOM elements within a specific element","Querying","2026-02-01","passed","2026-02-01","","","",""
"","2523","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-02-01","passed","2026-02-01","","","",""
"","119","cy.getAllCookies() - get all browser cookies","Cookies","2026-02-01","passed","2026-02-01","","","",""
"","194","cy.request() - pass result to the second request","Network Requests","2026-02-01","passed","2026-02-01","","","",""
"","99",".siblings() - get all sibling DOM elements","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","74","Get underlying OS name","Cypress APIs","2026-02-01","passed","2026-02-01","","Cypress.platform","",""
"","826","cy.go() - go back or forward in the browser's history","Navigation","2026-02-01","passed","2026-02-01","","","",""
"","237",".children() - get child DOM elements","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","87","cy.fixture() or require - load a fixture","Files","2026-02-01","passed","2026-02-01","","","",""
"","238","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-02-01","passed","2026-02-01","","","",""
"","111",".debug() - enable or disable debugging","Cypress APIs","2026-02-01","passed","2026-02-01","","Cypress.Cookies","",""
"","254","can delete all completed tasks","example to-do app","2026-02-01","passed","2026-02-01","","with a checked task","",""
"","228","cy.get() - query DOM elements","Querying","2026-02-01","passed","2026-02-01","","","",""
"","93",".eq() - get a DOM element at a specific index","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","126",".trigger() - trigger an event on a DOM element","Actions","2026-02-01","passed","2026-02-01","","","",""
"","99",".and() - chain multiple assertions together","Assertions","2026-02-01","passed","2026-02-01","","Implicit Assertions","",""
"","200","Cypress.$ - call a jQuery method","Utilities","2026-02-01","passed","2026-02-01","","","",""
"","160","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-02-01","passed","2026-02-01","","","",""
"","96",".its() - get properties on the current subject","Connectors","2026-02-01","passed","2026-02-01","","","",""
"","201","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-02-01","passed","2026-02-01","","","",""
"","88",".invoke() - invoke a function on the current subject","Connectors","2026-02-01","passed","2026-02-01","","","",""
"","91",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","360","cy.reload() - reload the page","Navigation","2026-02-01","passed","2026-02-01","","","",""
"","472",".clear() - clears an input or textarea element","Actions","2026-02-01","passed","2026-02-01","","","",""
"","315",".should() - make an assertion about the current subject","Assertions","2026-02-01","passed","2026-02-01","","Implicit Assertions","",""
"","72","cy.url() - get the current URL","Location","2026-02-01","passed","2026-02-01","","","",""
"","96",".first() - get first DOM element","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","782",".check() - check a checkbox or radio element","Actions","2026-02-01","passed","2026-02-01","","","",""
